mix,room,source1,source1_start,source1_position,source1_vector,source2,source2_start,source2_position,source2_vector,listener_position
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S00358_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8005_M8008_MS806.wav,18880,2,"[0.39999999999999997, -1.4000000000000001, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8005_M8007_MS806.wav,17760,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S01111_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8009_M8025_MS811.wav,35840,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,35520,2,"[0.39999999999999997, -1.4000000000000001, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S02021_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8006_M8012_MS803.wav,47360,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8005_M8009_MS802.wav,129920,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S02853_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8008_M8014_MS807.wav,8800,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,391200,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S03085_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8002_M8002_MS802.wav,149600,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,110400,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S03550_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,34080,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8009_M8022_MS810.wav,61440,2,"[0.39999999999999997, -1.4000000000000001, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S04031_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8004_M8005_MS803.wav,44960,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8004_M8006_MS805.wav,55360,2,"[0.39999999999999997, -1.4000000000000001, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S04635_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8009_M8027_MS812.wav,42240,2,"[0.39999999999999997, -1.4000000000000001, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8009_M8028_MS812.wav,46560,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S05016_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1019_M1963_MS108.wav,28320,1,"[0.19999999999999996, 3.0, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,7840,2,"[0.39999999999999997, -1.4000000000000001, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_CH/S05606_mix_CH0.wav,R04635,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,23680,2,"[0.39999999999999997, -1.4000000000000001, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,7680,3,"[1.2999999999999998, 0.6999999999999997, 0.0]","[-0.7, 2.7, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S00013_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_OKH59uItPFA__5_3_.wav,0,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R1019_M1969_MS103.wav,116160,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S00362_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_3YCtMh_AY44__2_.wav,0,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R0004_M0022_MS002.wav,135680,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S01282_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_3E6Jtb7yOzQ__2_.wav,0,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R0004_M0012_MS005.wav,105920,2,"[-0.9, 4.199999999999999, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S01563_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R0004_M0022_MS002.wav,135680,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_5HIhsI1b3LM__20170329_.wav,0,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S02144_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R1019_M4005_MS107.wav,31200,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_SFDE76v16xE__20170315_.wav,0,2,"[-0.9, 4.199999999999999, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S02525_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_mK3j4O25sIs__5_9_.wav,0,2,"[-0.9, 4.199999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R1019_M1965_MS103.wav,125280,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S03502_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R0004_M0018_MS002.wav,356000,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_3LN6nwtr0gQ__6_10_.wav,0,2,"[-0.9, 4.199999999999999, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S04395_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R1019_M1975_MS107.wav,33600,2,"[-0.9, 4.199999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_OQPuDLngojA__3_9_.wav,0,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S04407_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R0003_M0047_MS006.wav,131040,1,"[-1.0, 0.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_2Djy45osdAo__20161014_.wav,0,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_tv_CH/S04421_mix_CH0.wav,R02144,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/R1019_M1960_MS108.wav,12480,2,"[-0.9, 4.199999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_16k/tvmerged_Jmvk95t98Ts__10_.wav,0,3,"[-0.20000000000000007, 2.3, 0.0]","[0.9, 1.1, 1.2]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_office_CH/S06015_mix_CH0.wav,R08364,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0063_MS006.wav,12960,1,"[1.2000000000000002, 0.3999999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0060_MS006.wav,29280,3,"[-0.7000000000000001, -1.2000000000000002, 0.0]","[-0.4, 3.2, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_office_CH/S06746_mix_CH0.wav,R08364,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0057_MS006.wav,118720,1,"[1.2000000000000002, 0.3999999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0055_MS002.wav,127040,3,"[-0.7000000000000001, -1.2000000000000002, 0.0]","[-0.4, 3.2, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_office_CH/S06943_mix_CH0.wav,R08364,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0003_M0046_MS002.wav,133440,1,"[1.2000000000000002, 0.3999999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0051_MS002.wav,224640,3,"[-0.7000000000000001, -1.2000000000000002, 0.0]","[-0.4, 3.2, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_office_CH/S08364_mix_CH0.wav,R08364,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0070_MS006.wav,26080,1,"[1.2000000000000002, 0.3999999999999999, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0071_MS002.wav,53280,3,"[-0.7000000000000001, -1.2000000000000002, 0.0]","[-0.4, 3.2, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_office_CH/S08440_mix_CH0.wav,R08364,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0069_MS006.wav,23360,2,"[-0.5, -2.1, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0064_MS006.wav,20320,3,"[-0.7000000000000001, -1.2000000000000002, 0.0]","[-0.4, 3.2, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000044_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1019_M1963_MS108.wav,677477,1,"[-0.09999999999999998, -1.4, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1019_M1981_MS107.wav,1349088,2,"[0.4, -2.3, 0.0]","[-0.5, 3.9, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000120_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R2108_M3225_MS207.wav,2229879,2,"[0.4, -2.3, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1021_M1940_MS116.wav,0,3,"[1.2, 0.19999999999999973, 0.0]","[-0.5, 3.9, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000156_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0008_M0064_MS006.wav,364634,1,"[-0.09999999999999998, -1.4, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0015_M0145_MS003.wav,1049707,2,"[0.4, -2.3, 0.0]","[-0.5, 3.9, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000243_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0015_M0147_MS002.wav,1037666,1,"[-0.09999999999999998, -1.4, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1021_M1959_MS115.wav,0,3,"[1.2, 0.19999999999999973, 0.0]","[-0.5, 3.9, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000281_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Test_Ali/Test_Ali_far/audio_dir/R8006_M8012_MS803.wav,0,1,"[-0.09999999999999998, -1.4, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1019_M4075_MS109.wav,0,2,"[0.4, -2.3, 0.0]","[-0.5, 3.9, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_1000/S00042000318_mix_CH0.wav,R04359,/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R1019_M4056_MS108.wav,2234445,1,"[-0.09999999999999998, -1.4, 0.0]",/home/qysun/Neuro-SS/dataset/yufei/alimeeting/Train_Ali/Train_Ali_far/audio_dir/R0005_M0041_MS002.wav,0,2,"[0.4, -2.3, 0.0]","[-0.5, 3.9, 1.6]"
