mix,room,source1,source1_start,source1_position,source1_vector,source2,source2_start,source2_position,source2_vector,listener_position
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00042000029_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32094.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30960.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00042000089_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30978.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30997.wav,0,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00042000143_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32006.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32084.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00042000221_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32183.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30832.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00246000033_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31005.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32023.wav,0,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00246000104_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32071.wav,3840000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32265.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00246000155_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30831.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30975.wav,0,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00246000189_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32055.wav,1920000,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30995.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00278000031_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32184.wav,1920000,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31058.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00278000085_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30983.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32260.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00278000135_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32252.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32180.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00278000226_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32109.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32054.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00355000049_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32023.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32105.wav,0,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00355000065_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32189.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32029.wav,0,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00355000164_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31023.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32070.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00355000196_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30995.wav,3840000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30985.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00358000017_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32025.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32188.wav,0,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00358000112_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31044.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32004.wav,1920000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00358000166_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31045.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32023.wav,3840000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00358000211_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32054.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30983.wav,3840000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00358000257_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30941.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31055.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00364000044_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32042.wav,1920000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32264.wav,0,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00364000079_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32257.wav,0,2,"[0.7, 1.9, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31027.wav,3840000,3,"[-1.4, 1.0, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00364000183_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32251.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_32067.wav,1920000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00364000200_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31055.wav,0,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30999.wav,5760000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/scenes_cafe_notsofar/S00364000258_mix_CH0.wav,R00364,/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_31055.wav,3840000,1,"[0.5999999999999999, 1.0, 0.0]",/home/qysun/Neuro-SS/dataset/clarity/clarity_data/aad/targets_notsofar/MTG_30941.wav,3840000,2,"[0.7, 1.9, 0.0]","[0.8, 1.6, 1.6]"
